Compliance_Area,Business_Type,Description of compliance,Responsible Agency,Link to compliance details
Health & Safety,Businesses manufacturing consumer products,"Health & Safety regulations related to manufacturing and selling consumer products. Penalties, violations, material and other safety regulations to protect consumers from misleading or malicous products",Health Canada,https://laws-lois.justice.gc.ca/PDF/C-1.68.pdf
Human rights,All businesses with employees,"General employee obligations, employee rights, offenses, working hours, work leave details, reimbursement and wage details",Employment and Social Development Canada (ESDC),https://laws-lois.justice.gc.ca/PDF/L-2.pdf
Environmental,All businesses,"Waste management requirements, pollution compliances, fuel useage regulations, handling of toxic materials.",Environment and Climate Change Canada (ECCC),https://laws-lois.justice.gc.ca/PDF/C-15.31.pdf
Financial Reporting,All businesses,"Financial regulations regarding business operations, debt, liability and civil offenses related to financial management, tax laws, auditor compliancies",Treasury Board of Canada Secretariat (TBS),https://laws-lois.justice.gc.ca/PDF/F-11.pdf
Privacy Regulations,Businesses handling customer data,"Outlines the regulations surrounding handling customer data as a private business. Compliances related to customer consent, confidentiality, fair use of data, ",Office of the Privacy Commissioner of Canada (OPC),https://laws-lois.justice.gc.ca/PDF/P-8.6.pdf
Health & Safety,Businesses with physically present employees,"Workplace regulations related to employees being physically physically present. Working conditions such as temperature, lighting, access to necessities, proper safety equipment and training.",Employment and Social Development Canada (ESDC),https://laws-lois.justice.gc.ca/PDF/SOR-86-304.pdf
Privacy Regulations,"Government agencies, businesses interacting with government agencies","Government responsibilities related to personal data, rights to access personal data from government agencies, protecting the secrecy and confidentiality of user data",Treasury Board of Canada Secretariat (TBS),https://laws-lois.justice.gc.ca/PDF/P-21.pdf
Cybersecurity,Businesses using cloud-based services,"Guidelines for monitoring, assessing, authorization of cloud-based services, situations where they are applicable, specific cloud-based security information",Communications Security Establishment (CSE),https://www.cyber.gc.ca/sites/default/files/cyber/publications/ITSP.50.105-e.pdf
Transportation,Businesses transporting goods,"Prohibitions, licenses, regulations, fees and charges, carrier liability, load limits, tariffs, mediation and dispute resolution",Transport Canada,https://laws-lois.justice.gc.ca/PDF/C-10.4.pdf
Energy,Businesses operating in the energy trade or using large amounts of energy,"Helps businesses predict and prevent dangerous conditions for the workers, the public and the environment. Security and regulation, liability, pollution",Canadian Energy Regulator (CER),https://laws-lois.justice.gc.ca/PDF/C-15.1.pdf
Food,"Businesses selling, transporting, or packaging food","Food regulations regarding packaging, selling, shipping, handling food",Canadian Food Inspection Agency (CFIA),https://inspection.canada.ca/sites/default/files/legacy/DAM/DAM-aboutcfia-sujetacia/STAGING/text-texte/regs_safe_food_regulations_handbook_business_1531429195095_eng.pdf
Human rights,All federal or federally regulated businesses,"Protects and provides those with disabilities equal opportunity in employment, environment, information, communication, transportation and the procurement of goods and services",Employment and Social Development Canada (ESDC),https://laws.justice.gc.ca/PDF/A-0.6.pdf
Trade Regulations,All businesses,"Regulations regarding the importation and exportation of goods, valuation of duties, prohibitions and penalties, records for shipped goods, enforcement",Canadian Border Services Agency (CBSA),https://www.laws-lois.justice.gc.ca/PDF/C-52.6.pdf
Human rights,All federal or federally regulated businesses,Workplace harassment and violence prevention,Canadian Human Rights Commission (CHRC),https://www.chrc-ccdp.gc.ca/sites/default/files/2024-04/preventing-and-addressing-workplace-harassment-and-violence_0.pdf
Financial Reporting,All businesses,"Requirements for reporting suspicous financial activity in order to prevent criminal activity such as record keeping, verifying identity, verifying transactional history",Financial Transactions and Reports Analysis Centre Canada (FINTRAC),https://laws-lois.justice.gc.ca/PDF/P-24.501.pdf
Human rights,All businesses,"Protections and security for temporary foreign workers, international students, and those seeking residence. Contains sponsorship information, huminatarian and employee rights while in Canada","Immigration, Refugees and Citzenship Canada (IRCC)",https://laws.justice.gc.ca/PDF/I-2.5.pdf
